"Mean Annual Earnings by Area of Residence, statistical indicator, Year"
"and Sex"

" " " " " " "Both sexes" "Male" "Female"
"Dublin"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 39487 44682 33639
" " " " "2008" 43343 50207 36604
" " " " "2009" 40450 46966 34219
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 3115 4209 1883
" " " " "2008" 3696 5166 2254
" " " " "2009" 2543 3602 1529
" " "Total Annual Earnings (Euro)"
" " " " "2007" 42602 48891 35521
" " " " "2008" 47040 55373 38858
" " " " "2009" 42993 50568 35748
"Rest of Leinster"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 36075 40904 30020
" " " " "2008" 38769 45591 31528
" " " " "2009" 37526 43865 31316
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 2220 2916 1347
" " " " "2008" 2459 3434 1423
" " " " "2009" 1765 2422 1121
" " "Total Annual Earnings (Euro)"
" " " " "2007" 38295 43820 31367
" " " " "2008" 41228 49025 32951
" " " " "2009" 39291 46287 32437
"Munster"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 33773 38311 28212
" " " " "2008" 35569 41028 29789
" " " " "2009" 36533 41405 32216
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 1630 2127 1020
" " " " "2008" 1623 2258 951
" " " " "2009" 1545 1887 1242
" " "Total Annual Earnings (Euro)"
" " " " "2007" 35403 40438 29232
" " " " "2008" 37192 43286 30740
" " " " "2009" 38078 43292 33458
"Connacht"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 32803 36745 28786
" " " " "2008" 35344 40564 30466
" " " " "2009" 35000 39578 31207
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 1072 1592 543
" " " " "2008" 1399 2052 789
" " " " "2009" 1477 1977 1063
" " "Total Annual Earnings (Euro)"
" " " " "2007" 33875 38337 29329
" " " " "2008" 36744 42615 31255
" " " " "2009" 36477 41555 32270
"Ulster (pt)"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 29956 32543 26864
" " " " "2008" 33021 35365 30438
" " " " "2009" 32492 36099 29202
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 1478 1957 906
" " " " "2008" 1199 1579 780
" " " " "2009" 970 1258 707
" " "Total Annual Earnings (Euro)"
" " " " "2007" 31434 34501 27769
" " " " "2008" 34220 36944 31218
" " " " "2009" 33461 37357 29909
"State"
" " "Basic Annual Earnings (Euro)"
" " " " "2007" 35607 40269 30118
" " " " "2008" 38428 44232 32433
" " " " "2009" 38337 44329 32655
" " "Annual Bonuses and Benefit in Kind (Euro)"
" " " " "2007" 2120 2830 1284
" " " " "2008" 2347 3252 1411
" " " " "2009" 2042 2850 1277
" " "Total Annual Earnings (Euro)"
" " " " "2007" 37726 43099 31403
" " " " "2008" 40775 47484 33845
" " " " "2009" 40379 47178 33932

